    0.2384     1     1     1     1
    1.0000     1     1     1     2
    1.0000     1     1     1     3
    1.0000     1     1     1     4
    1.0000     1     1     1     5
    0.2318     1     1     2     1
    1.0000     1     1     2     2
    1.0000     1     1     2     3
    1.0000     1     1     2     4
    1.0000     1     1     2     5
    0.2413     1     1     3     1
    1.0000     1     1     3     2
    1.0000     1     1     3     3
    1.0000     1     1     3     4
    1.0000     1     1     3     5
    0.2169     1     1     4     1
    1.0000     1     1     4     2
    1.0000     1     1     4     3
    1.0000     1     1     4     4
    1.0000     1     1     4     5
    0.2118     1     1     5     1
    1.0000     1     1     5     2
    1.0000     1     1     5     3
    1.0000     1     1     5     4
    1.0000     1     1     5     5
    0.2030     1     1     6     1
    1.0000     1     1     6     2
    1.0000     1     1     6     3
    1.0000     1     1     6     4
    1.0000     1     1     6     5
    0.2000     1     1     7     1
    1.0000     1     1     7     2
    1.0000     1     1     7     3
    1.0000     1     1     7     4
    1.0000     1     1     7     5
    0.2029     1     1     8     1
    1.0000     1     1     8     2
    1.0000     1     1     8     3
    1.0000     1     1     8     4
    1.0000     1     1     8     5
    0.2008     1     1     9     1
    1.0000     1     1     9     2
    1.0000     1     1     9     3
    1.0000     1     1     9     4
    1.0000     1     1     9     5
    0.2092     1     1    10     1
    1.0000     1     1    10     2
    1.0000     1     1    10     3
    1.0000     1     1    10     4
    1.0000     1     1    10     5
    0.2190     1     1    11     1
    1.0000     1     1    11     2
    1.0000     1     1    11     3
    1.0000     1     1    11     4
    1.0000     1     1    11     5
    0.2048     1     1    12     1
    1.0000     1     1    12     2
    1.0000     1     1    12     3
    1.0000     1     1    12     4
    1.0000     1     1    12     5
    0.2011     1     1    13     1
    1.0000     1     1    13     2
    1.0000     1     1    13     3
    1.0000     1     1    13     4
    1.0000     1     1    13     5
    0.2095     1     1    14     1
    1.0000     1     1    14     2
    1.0000     1     1    14     3
    1.0000     1     1    14     4
    1.0000     1     1    14     5
    0.2075     1     1    15     1
    1.0000     1     1    15     2
    1.0000     1     1    15     3
    1.0000     1     1    15     4
    1.0000     1     1    15     5
    0.2161     1     1    16     1
    1.0000     1     1    16     2
    1.0000     1     1    16     3
    1.0000     1     1    16     4
    1.0000     1     1    16     5
    0.2198     1     1    17     1
    1.0000     1     1    17     2
    1.0000     1     1    17     3
    1.0000     1     1    17     4
    1.0000     1     1    17     5
    0.2106     1     1    18     1
    1.0000     1     1    18     2
    1.0000     1     1    18     3
    1.0000     1     1    18     4
    1.0000     1     1    18     5
    0.2070     1     1    19     1
    1.0000     1     1    19     2
    1.0000     1     1    19     3
    1.0000     1     1    19     4
    1.0000     1     1    19     5
    0.2042     1     1    20     1
    1.0000     1     1    20     2
    1.0000     1     1    20     3
    1.0000     1     1    20     4
    1.0000     1     1    20     5
    0.2127     1     1    21     1
    1.0000     1     1    21     2
    1.0000     1     1    21     3
    1.0000     1     1    21     4
    1.0000     1     1    21     5
    0.2164     1     1    22     1
    1.0000     1     1    22     2
    1.0000     1     1    22     3
    1.0000     1     1    22     4
    1.0000     1     1    22     5
    0.2259     1     1    23     1
    1.0000     1     1    23     2
    1.0000     1     1    23     3
    1.0000     1     1    23     4
    1.0000     1     1    23     5
    0.2165     1     1    24     1
    1.0000     1     1    24     2
    1.0000     1     1    24     3
    1.0000     1     1    24     4
    1.0000     1     1    24     5
    0.2125     1     1    25     1
    1.0000     1     1    25     2
    1.0000     1     1    25     3
    1.0000     1     1    25     4
    1.0000     1     1    25     5
    0.2092     1     1    26     1
    1.0000     1     1    26     2
    1.0000     1     1    26     3
    1.0000     1     1    26     4
    1.0000     1     1    26     5
    0.2179     1     1    27     1
    1.0000     1     1    27     2
    1.0000     1     1    27     3
    1.0000     1     1    27     4
    1.0000     1     1    27     5
    0.2215     1     1    28     1
    1.0000     1     1    28     2
    1.0000     1     1    28     3
    1.0000     1     1    28     4
    1.0000     1     1    28     5
    0.2313     1     1    29     1
    1.0000     1     1    29     2
    1.0000     1     1    29     3
    1.0000     1     1    29     4
    1.0000     1     1    29     5
    0.2212     1     1    30     1
    1.0000     1     1    30     2
    1.0000     1     1    30     3
    1.0000     1     1    30     4
    1.0000     1     1    30     5
    0.2168     1     1    31     1
    1.0000     1     1    31     2
    1.0000     1     1    31     3
    1.0000     1     1    31     4
    1.0000     1     1    31     5
    0.2132     1     1    32     1
    1.0000     1     1    32     2
    1.0000     1     1    32     3
    1.0000     1     1    32     4
    1.0000     1     1    32     5
    0.2158     1     1    33     1
    1.0000     1     1    33     2
    1.0000     1     1    33     3
    1.0000     1     1    33     4
    1.0000     1     1    33     5
    0.2253     1     1    34     1
    1.0000     1     1    34     2
    1.0000     1     1    34     3
    1.0000     1     1    34     4
    1.0000     1     1    34     5
    0.2359     1     1    35     1
    1.0000     1     1    35     2
    1.0000     1     1    35     3
    1.0000     1     1    35     4
    1.0000     1     1    35     5
    0.2128     1     1    36     1
    1.0000     1     1    36     2
    1.0000     1     1    36     3
    1.0000     1     1    36     4
    1.0000     1     1    36     5
    0.2080     1     1    37     1
    1.0000     1     1    37     2
    1.0000     1     1    37     3
    1.0000     1     1    37     4
    1.0000     1     1    37     5
    0.2166     1     1    38     1
    1.0000     1     1    38     2
    1.0000     1     1    38     3
    1.0000     1     1    38     4
    1.0000     1     1    38     5
    0.2203     1     1    39     1
    1.0000     1     1    39     2
    1.0000     1     1    39     3
    1.0000     1     1    39     4
    1.0000     1     1    39     5
    0.2300     1     1    40     1
    1.0000     1     1    40     2
