    0.3264     1     1     1     1
    1.0000     1     1     1     2
    1.0000     1     1     1     3
    1.0000     1     1     1     4
    1.0000     1     1     1     5
    0.3464     1     1     2     1
    1.0000     1     1     2     2
    1.0000     1     1     2     3
    1.0000     1     1     2     4
    1.0000     1     1     2     5
    0.3770     1     1     3     1
    1.0000     1     1     3     2
    1.0000     1     1     3     3
    1.0000     1     1     3     4
    1.0000     1     1     3     5
    0.4103     1     1     4     1
    1.0000     1     1     4     2
    1.0000     1     1     4     3
    1.0000     1     1     4     4
    1.0000     1     1     4     5
    0.4475     1     1     5     1
    1.0000     1     1     5     2
    1.0000     1     1     5     3
    1.0000     1     1     5     4
    1.0000     1     1     5     5
    0.4870     1     1     6     1
    1.0000     1     1     6     2
    1.0000     1     1     6     3
    1.0000     1     1     6     4
    1.0000     1     1     6     5
    0.5313     1     1     7     1
    1.0000     1     1     7     2
    1.0000     1     1     7     3
    1.0000     1     1     7     4
    1.0000     1     1     7     5
    0.5783     1     1     8     1
    1.0000     1     1     8     2
    1.0000     1     1     8     3
    1.0000     1     1     8     4
    1.0000     1     1     8     5
    0.6294     1     1     9     1
    1.0000     1     1     9     2
    1.0000     1     1     9     3
    1.0000     1     1     9     4
    1.0000     1     1     9     5
    0.6871     1     1    10     1
    1.0000     1     1    10     2
    1.0000     1     1    10     3
    1.0000     1     1    10     4
    1.0000     1     1    10     5
    0.7478     1     1    11     1
    1.0000     1     1    11     2
    1.0000     1     1    11     3
    1.0000     1     1    11     4
    1.0000     1     1    11     5
    0.8167     1     1    12     1
    1.0000     1     1    12     2
    1.0000     1     1    12     3
    1.0000     1     1    12     4
    1.0000     1     1    12     5
    0.8889     1     1    13     1
    1.0000     1     1    13     2
    1.0000     1     1    13     3
    1.0000     1     1    13     4
    1.0000     1     1    13     5
    0.9675     1     1    14     1
    1.0000     1     1    14     2
    1.0000     1     1    14     3
    1.0000     1     1    14     4
    1.0000     1     1    14     5
    1.0000     1     1    15     1
    1.0000     1     1    15     2
    1.0000     1     1    15     3
    1.0000     1     1    15     4
    1.0000     1     1    15     5
    1.0000     1     1    16     1
    1.0000     1     1    16     2
    1.0000     1     1    16     3
    1.0000     1     1    16     4
    1.0000     1     1    16     5
    1.0000     1     1    17     1
    1.0000     1     1    17     2
    1.0000     1     1    17     3
    1.0000     1     1    17     4
    1.0000     1     1    17     5
    1.0000     1     1    18     1
    1.0000     1     1    18     2
    1.0000     1     1    18     3
    1.0000     1     1    18     4
    1.0000     1     1    18     5
    1.0000     1     1    19     1
    1.0000     1     1    19     2
    1.0000     1     1    19     3
    1.0000     1     1    19     4
    1.0000     1     1    19     5
    1.0000     1     1    20     1
    1.0000     1     1    20     2
    1.0000     1     1    20     3
    1.0000     1     1    20     4
    1.0000     1     1    20     5
    1.0000     1     1    21     1
    1.0000     1     1    21     2
    1.0000     1     1    21     3
    1.0000     1     1    21     4
    1.0000     1     1    21     5
    1.0000     1     1    22     1
    1.0000     1     1    22     2
    1.0000     1     1    22     3
    1.0000     1     1    22     4
    1.0000     1     1    22     5
    1.0000     1     1    23     1
    1.0000     1     1    23     2
    1.0000     1     1    23     3
    1.0000     1     1    23     4
    1.0000     1     1    23     5
    1.0000     1     1    24     1
    1.0000     1     1    24     2
    1.0000     1     1    24     3
    1.0000     1     1    24     4
    1.0000     1     1    24     5
    1.0000     1     1    25     1
    1.0000     1     1    25     2
    1.0000     1     1    25     3
    1.0000     1     1    25     4
    1.0000     1     1    25     5
    1.0000     1     1    26     1
    1.0000     1     1    26     2
    1.0000     1     1    26     3
    1.0000     1     1    26     4
    1.0000     1     1    26     5
    1.0000     1     1    27     1
    1.0000     1     1    27     2
    1.0000     1     1    27     3
    1.0000     1     1    27     4
    1.0000     1     1    27     5
    1.0000     1     1    28     1
    1.0000     1     1    28     2
    1.0000     1     1    28     3
    1.0000     1     1    28     4
    1.0000     1     1    28     5
    1.0000     1     1    29     1
    1.0000     1     1    29     2
    1.0000     1     1    29     3
    1.0000     1     1    29     4
    1.0000     1     1    29     5
    1.0000     1     1    30     1
    1.0000     1     1    30     2
    1.0000     1     1    30     3
    1.0000     1     1    30     4
    1.0000     1     1    30     5
    1.0000     1     1    31     1
    1.0000     1     1    31     2
    1.0000     1     1    31     3
    1.0000     1     1    31     4
    1.0000     1     1    31     5
    1.0000     1     1    32     1
    1.0000     1     1    32     2
    1.0000     1     1    32     3
    1.0000     1     1    32     4
    1.0000     1     1    32     5
    1.0000     1     1    33     1
    1.0000     1     1    33     2
